Frequency,Total,Op Amp V,Op Amp I,Rf,Rin,Op Amp 2 V,Op Amp 2 I,Rfilter
10000000,8.594469420585604e-9,2.028681600020694e-9,2.226861308238837e-13,9.948972670730672e-11,2.6377347032957667e-14,7.278109380993228e-9,3.8726046463464814e-13,7.522969319339354e-10
10500000,8.203644963019464e-9,1.7637837852821446e-9,1.8438924518368018e-13,8.237978514072501e-11,2.2934340463773858e-14,6.9847136815741655e-9,3.6973317014147823e-13,6.879013821728172e-10
11000000,7.847373978185638e-9,1.54187342367956e-9,1.5386356944767576e-13,6.874179553942011e-11,2.0049298186284925e-14,6.71028132448452e-9,3.5360025109561725e-13,6.310809688960556e-10
11500000,7.520538311633569e-9,1.3546848415303358e-9,1.2930651099314467e-13,5.7770411621896786e-11,1.761513113932082e-14,6.453261623106004e-9,3.3870137863974686e-13,5.807203429006951e-10
12000000,7.219114037136089e-9,1.1957722653749003e-9,1.0938237924409398e-13,4.8868885445750996e-11,1.5548276959789672e-14,6.212228336463869e-9,3.2489999366990283e-13,5.358981304633842e-10
12500000,6.939875640878315e-9,1.0600619243400678e-9,9.308967430054786e-14,4.1589775803138545e-11,1.3782924398888057e-14,5.985876387097699e-9,3.1207900266393274e-13,4.958484988663796e-10
13000000,6.680192374063059e-9,9.43525242891627e-10,7.966922543459762e-14,3.5593907155985374e-11,1.2266794760783773e-14,5.773015697190045e-9,3.00137397293947e-13,4.5993119698402173e-10
13500000,6.437885388408602e-9,8.429376265325616e-10,6.853970258927668e-14,3.0621558037667725e-11,1.0958025351971716e-14,5.572563491968143e-9,2.889875681399686e-13,4.276080236954646e-10
14000000,6.211125623117383e-9,7.55698514128533e-10,5.925175037976335e-14,2.6471969450465507e-11,9.82284263671286e-15,5.383535948526976e-9,2.7855314756431954e-13,3.984242128998991e-10
14500000,5.998359470475856e-9,6.796957973638201e-10,5.145497022566701e-14,2.2988593436619914e-11,8.833807842615461e-15,5.205039748040133e-9,2.68767261292586e-13,3.7199360887589983e-10
15000000,5.798253693407977e-9,6.132027184416679e-10,4.4873882729441186e-14,2.004835376379447e-11,7.968481990223536e-15,5.036263873593677e-9,2.5957109937494545e-13,3.479867852529865e-10
15500000,5.609653906734287e-9,5.547987837874848e-10,3.9290243238920065e-14,1.7553745029569284e-11,7.20840130893023e-15,4.8764718520232416e-9,2.509127393551262e-13,3.2612146584447853e-10
16000000,5.431552770655541e-9,5.033086045691597e-10,3.4529903095510126e-14,1.542696264689707e-11,6.538284503810972e-15,4.7249945434356965e-9,2.42746170490721e-13,3.061547572676248e-10
16500000,5.2630652498167884e-9,4.57754237603262e-10,3.0452957864252976e-14,1.3605501358051829e-11,5.9454147346817534e-15,4.5812235208187355e-9,2.350304796172628e-13,2.8787681644789996e-10
17000000,5.1034090924073025e-9,4.1731777807461165e-10,2.6946296059233757e-14,1.2038826220513828e-11,5.419154341089396e-15,4.444605043445177e-9,2.2772916798213714e-13,2.7110566119987734e-10
